timestamp,ax,ay,az,gx,gy,gz,label
2020-03-06,17:30:18.717,0.022461, 0.051758, 0.953613,-1.731873, 1.892090, -0.274658,gal
2020-03-06,17:30:18.748,0.000244, 0.051270, 0.962402,-1.609802, 1.983643, -0.350952,gal
2020-03-06,17:30:18.781,0.020020, 0.054932, 0.954346,-2.540588, 1.564026, -0.450134,gal
2020-03-06,17:30:18.809,0.020508, 0.053467, 0.957764,-1.792908, 2.197266, 0.099182,gal
2020-03-06,17:30:18.838,0.019043, 0.054199, 0.958252,-2.334595, 1.686096, 0.106812,gal
2020-03-06,17:30:18.866,0.020508, 0.053955, 0.955566,-2.037048, 1.777649, -0.526428,gal
2020-03-06,17:30:18.896,0.015625, 0.049072, 0.956787,-1.541138, 0.083923, 0.022888,gal
2020-03-06,17:30:18.925,0.019531, 0.061279, 0.962891,-2.853394, 1.510620, -0.419617,gal
2020-03-06,17:30:18.953,0.023193, 0.053467, 0.950439,-2.067566, 2.380371, 0.068665,gal
2020-03-06,17:30:18.981,0.022461, 0.058105, 0.960693,-2.044678, 1.556396, -0.373840,gal
2020-03-06,17:30:19.009,0.018799, 0.050049, 0.953613,-1.647949, 1.747131, -0.404358,gal
2020-03-06,17:30:19.036,0.021240, 0.050537, 0.967285,-2.029419, 3.860474, -0.198364,gal
2020-03-06,17:30:19.066,0.021729, 0.057129, 0.959473,-2.357483, 0.015259, -0.175476,gal
2020-03-06,17:30:19.099,0.019043, 0.051758, 0.957031,-1.564026, 1.846313, -0.297546,gal
2020-03-06,17:30:19.130,0.019043, 0.052246, 0.965820,-1.998901, 1.731873, -0.251770,gal
2020-03-06,17:30:19.160,0.020508, 0.050293, 0.966797,-0.022888, 1.861572, -0.221252,gal
2020-03-06,17:30:19.187,0.020264, 0.057617, 0.958008,-1.579285, 2.319336, 0.030518,gal
2020-03-06,17:30:19.217,0.020752, 0.052490, 0.966309,-2.326965, 1.525879, -0.167847,gal
2020-03-06,17:30:19.246,0.017334, 0.051758, 0.952881,-1.632690, 2.273560, -0.183105,gal
2020-03-06,17:30:19.274,0.016846, 0.053955, 0.957031,-2.326965, 1.724243, -0.083923,gal
2020-03-06,17:30:19.302,0.021973, 0.033447, 0.954102,-1.586914, 2.021790, -0.061035,gal
2020-03-06,17:30:19.329,0.031006, 0.054443, 0.963867,-1.678467, 3.837585, -0.007629,gal
2020-03-06,17:30:19.359,0.016602, 0.053711, 0.959717,-2.189636, 1.777649, -0.213623,gal
2020-03-06,17:30:19.390,0.020264, 0.053955, 0.958252,-2.029419, 2.243042, -0.038147,gal
2020-03-06,17:30:19.418,0.018555, 0.049805, 0.964355,-0.076294, 1.846313, 1.930237,gal
2020-03-06,17:30:19.448,0.021484, 0.054932, 0.951660,-1.914978, 2.265930, 0.221252,gal
2020-03-06,17:30:19.477,0.024414, 0.052002, 0.962891,-1.396179, 2.059937, 0.068665,gal
2020-03-06,17:30:19.506,0.017334, 0.049805, 0.962646,-2.349854, 1.785278, -0.404358,gal
2020-03-06,17:30:19.538,0.019043, 0.051270, 0.958008,-1.518250, 2.426147, 0.122070,gal
2020-03-06,17:30:19.569,0.020508, 0.056396, 0.951416,-2.319336, 1.922607, 1.945496,gal
2020-03-06,17:30:19.598,0.022949, 0.035400, 0.959229,-1.502991, 1.861572, -0.198364,gal
2020-03-06,17:30:19.625,0.017578, 0.050781, 0.966797,-1.739502, 1.815796, -0.152588,gal
2020-03-06,17:30:19.654,0.020508, 0.052734, 0.963867,-2.380371, 1.716614, -0.061035,gal
2020-03-06,17:30:19.685,0.024414, 0.056396, 0.961182,-3.906250, 1.976013, 0.000000,gal
2020-03-06,17:30:19.713,0.021484, 0.057129, 0.949463,-1.960754, 1.907349, 0.175476,gal
2020-03-06,17:30:19.741,0.024170, 0.050293, 0.957275,-1.678467, 1.724243, -0.572205,gal
2020-03-06,17:30:19.769,0.021729, 0.048584, 0.964844,-1.594543, 2.067566, 0.007629,gal
2020-03-06,17:30:19.797,0.022949, 0.057129, 0.953857,-2.044678, 1.792908, -0.297546,gal
2020-03-06,17:30:19.829,0.021240, 0.050537, 0.957764,-1.274109, 1.731873, -0.160217,gal
2020-03-06,17:30:19.859,0.020752, 0.056885, 0.958740,-1.899719, 2.143860, 0.236511,gal
2020-03-06,17:30:19.887,0.032715, 0.059570, 0.963867,-2.021790, 2.273560, 0.251770,gal
2020-03-06,17:30:19.916,0.020264, 0.052002, 0.957031,-0.350952, 1.716614, -0.411987,gal
2020-03-06,17:30:19.947,0.029541, 0.039795, 0.956055,-2.326965, 0.938416, -0.892639,gal
2020-03-06,17:30:19.976,0.023193, 0.049561, 0.965820,-2.632141, 2.754211, 0.289917,gal
2020-03-06,17:30:20.004,0.031006, 0.065918, 0.961182,-2.517700, 2.540588, 0.495911,gal
2020-03-06,17:30:20.031,0.018555, 0.044922, 0.951172,-1.289368, 1.380920, -0.549316,gal
2020-03-06,17:30:20.061,0.016113, 0.048340, 0.958740,-1.663208, 3.837585, -0.083923,gal
2020-03-06,17:30:20.090,0.024414, 0.059326, 0.957275,-2.059937, 1.983643, 0.015259,gal
2020-03-06,17:30:20.117,0.020508, 0.050293, 0.967529,-1.342773, 2.212524, -1.800537,gal
2020-03-06,17:30:20.145,0.019531, 0.053223, 0.957031,-1.892090, 1.586914, -0.434875,gal
2020-03-06,17:30:20.173,0.020996, 0.051025, 0.957520,-2.212524, 1.846313, 0.137329,gal
2020-03-06,17:30:20.203,0.022461, 0.055908, 0.959961,-1.945496, 2.388000, 0.122070,gal
2020-03-06,17:30:20.231,0.025635, 0.056396, 0.954834,-3.906250, 1.884460, -0.007629,gal
2020-03-06,17:30:20.259,0.021240, 0.056396, 0.960449,-1.655579, 1.968384, -0.358582,gal
2020-03-06,17:30:20.287,0.017578, 0.052246, 0.958496,-1.602173, 1.884460, -0.114441,gal
2020-03-06,17:30:20.314,0.022705, 0.051270, 0.949707,-1.945496, 1.770020, -0.236511,gal
2020-03-06,17:30:20.343,0.018555, 0.051025, 0.959961,-1.708984, 1.892090, -0.244141,gal
2020-03-06,17:30:20.374,0.024170, 0.050293, 0.956055,-2.136230, 1.785278, -0.358582,gal
2020-03-06,17:30:20.402,0.020508, 0.050537, 0.953857,-2.098083, 2.182007, -0.221252,gal
2020-03-06,17:30:20.430,0.022949, 0.057129, 0.963135,-1.792908, 0.061035, -0.442505,gal
2020-03-06,17:30:20.457,0.019043, 0.048584, 0.954834,-1.800537, 1.869202, -0.381470,gal
2020-03-06,17:30:20.486,0.017822, 0.050049, 0.958008,-1.632690, 3.875732, -0.404358,gal
2020-03-06,17:30:20.515,0.003174, 0.053955, 0.951660,-2.311707, 1.960754, -0.106812,gal
2020-03-06,17:30:20.544,0.022217, 0.050293, 0.963379,-2.120972, 2.143860, -0.228882,gal
2020-03-06,17:30:20.572,0.014648, 0.054932, 0.955078,-1.449585, 2.113342, -0.167847,gal
2020-03-06,17:30:20.600,0.018066, 0.050293, 0.956299,-2.471924, 1.304626, -0.526428,gal
2020-03-06,17:30:20.628,0.021973, 0.053467, 0.958984,-2.006531, 2.265930, 0.106812,gal
2020-03-06,17:30:20.657,0.024414, 0.054688, 0.955566,-2.220154, 1.693726, -1.899719,gal
2020-03-06,17:30:20.684,0.025391, 0.046875, 0.957520,-1.670837, 0.076294, -0.289917,gal
2020-03-06,17:30:20.712,0.022217, 0.048584, 0.938721,-1.457214, 2.197266, -0.335693,gal
2020-03-06,17:30:20.740,0.020020, 0.056885, 0.956787,-2.250671, 1.617432, -0.022888,gal
2020-03-06,17:30:20.769,0.024902, 0.050293, 0.959717,-2.197266, 2.098083, -0.068665,gal
2020-03-06,17:30:20.800,0.021729, 0.055664, 0.964355,-1.747131, 2.227783, -0.099182,gal
2020-03-06,17:30:20.828,0.020508, 0.052734, 0.965820,-2.220154, 1.785278, -0.305176,gal
2020-03-06,17:30:20.855,0.017334, 0.053467, 0.961914,-1.792908, 2.235413, 1.846313,gal
2020-03-06,17:30:20.883,0.022461, 0.051758, 0.955078,-2.113342, 1.365662, -0.473022,gal
2020-03-06,17:30:20.911,0.026123, 0.048340, 0.958740,-1.670837, 2.037048, -0.068665,gal
2020-03-06,17:30:20.941,0.017090, 0.052979, 0.957275,-1.731873, 1.625061, -0.343323,gal
2020-03-06,17:30:20.970,0.018066, 0.031494, 0.958008,-1.716614, 1.449585, -0.244141,gal
2020-03-06,17:30:20.998,0.016602, 0.053955, 0.960693,-2.197266, 2.151489, -0.282288,gal
2020-03-06,17:30:21.025,0.022461, 0.059570, 0.958984,-2.326965, 2.082825, -0.160217,gal
2020-03-06,17:30:21.054,0.024414, 0.053955, 0.957275,-1.884460, 1.831055, -0.152588,gal
2020-03-06,17:30:21.082,0.016602, 0.049805, 0.955322,-1.617432, 1.754761, -0.267029,gal
2020-03-06,17:30:21.110,0.017334, 0.050537, 0.955078,-2.441406, 1.091003, -0.373840,gal
2020-03-06,17:30:21.138,0.022217, 0.051270, 0.955078,-1.777649, 2.525330, 0.305176,gal
2020-03-06,17:30:21.165,0.018555, 0.056641, 0.961182,-1.846313, 1.686096, -0.366211,gal
2020-03-06,17:30:21.193,0.020508, 0.047607, 0.968262,-1.754761, 1.350403, -0.625610,gal
2020-03-06,17:30:21.224,0.016357, 0.046387, 0.962891,-1.815796, 1.739502, -0.305176,gal
2020-03-06,17:30:21.252,0.021484, 0.055420, 0.958252,-2.357483, 2.052307, 0.152588,gal
2020-03-06,17:30:21.279,0.024902, 0.055664, 0.958740,-2.113342, 1.976013, -0.099182,gal
2020-03-06,17:30:21.307,0.013184, 0.052490, 0.954102,-1.411438, 1.640320, -0.556946,gal
2020-03-06,17:30:21.337,0.020264, 0.042725, 0.962646,-1.663208, 1.373291, -0.534058,gal
2020-03-06,17:30:21.366,0.017334, 0.052734, 0.952148,-1.762390, 2.319336, 1.937866,gal
2020-03-06,17:30:21.393,0.022705, 0.059082, 0.953125,-2.410889, 2.128601, 0.343323,gal
2020-03-06,17:30:21.421,0.020020, 0.044922, 0.941406,-1.373291, 1.411438, -0.404358,gal
2020-03-06,17:30:21.448,0.014648, 0.045898, 0.952148,-2.067566, 1.968384, -0.709534,gal
2020-03-06,17:30:21.476,0.024658, 0.052734, 0.960449,-2.990723, 1.861572, -0.083923,gal
2020-03-06,17:30:21.504,0.023926, 0.065186, 0.954102,-1.113892, 2.761841, 0.091553,gal
2020-03-06,17:30:21.534,0.019287, 0.051514, 0.958984,-1.495361, 1.243591, -0.595093,gal
2020-03-06,17:30:21.562,0.017334, 0.046387, 0.939209,-1.632690, 1.701355, -0.556946,gal
2020-03-06,17:30:21.590,0.015625, 0.050293, 0.954346,-2.441406, 2.014160, -0.419617,gal
2020-03-06,17:30:21.618,0.020996, 0.049316, 0.951904,-2.258301, 1.792908, -0.160217,gal
2020-03-06,17:30:21.646,0.024170, 0.050537, 0.963379,-1.724243, 2.082825, -0.152588,gal
2020-03-06,17:30:21.673,0.019531, 0.052979, 0.954346,-1.655579, 2.288818, -0.366211,gal
2020-03-06,17:30:21.701,0.023193, 0.049316, 0.959961,-1.777649, 1.564026, -0.343323,gal
2020-03-06,17:30:21.729,0.021973, 0.048828, 0.955811,-1.670837, 2.159119, -0.198364,gal
2020-03-06,17:30:21.759,0.021973, 0.051270, 0.958496,-2.319336, 1.502991, -0.335693,gal
2020-03-06,17:30:21.788,0.022217, 0.050049, 0.947510,-2.037048, 2.288818, -0.061035,gal
2020-03-06,17:30:21.816,0.017334, 0.054688, 0.957031,-1.853943, 1.762390, -0.053406,gal
2020-03-06,17:30:21.844,0.022461, 0.049561, 0.947998,-2.662659, 2.151489, 0.099182,gal
2020-03-06,17:30:21.871,0.021973, 0.049805, 0.955322,-1.686096, 1.907349, -0.099182,gal
2020-03-06,17:30:21.901,0.019287, 0.051514, 0.953369,-1.945496, 1.869202, -0.099182,gal
2020-03-06,17:30:21.931,0.028564, 0.054932, 0.958252,-1.762390, 2.189636, 0.198364,gal
2020-03-06,17:30:21.960,0.016113, 0.051758, 0.962158,-1.304626, 1.678467, -0.694275,gal
2020-03-06,17:30:21.988,0.014648, 0.045654, 0.963867,-2.220154, 1.922607, -1.907349,gal
2020-03-06,17:30:22.016,0.018555, 0.049805, 0.966797,-2.212524, 1.701355, -0.778198,gal
2020-03-06,17:30:22.044,0.021973, 0.055664, 0.967773,-2.677917, 2.365112, 1.914978,gal
2020-03-06,17:30:22.073,0.029297, 0.057861, 0.961426,-1.846313, 2.197266, -0.205994,gal
2020-03-06,17:30:22.101,0.019775, 0.049561, 0.938232,-1.388550, 1.533508, -0.663757,gal
