timestamp,ax,ay,az,gx,gy,gz,label
2020-03-13,18:16:16.463,-0.046631, 0.159912, 0.985107,-5.424500, 1.899719, -0.404358,rivka
2020-03-13,18:16:16.491,-0.047119, 0.172607, 0.969238,-8.224487, 0.617981, -0.236511,rivka
2020-03-13,18:16:16.518,-0.040527, 0.130859, 0.968506,-6.019592, -0.198364, 1.670837,rivka
2020-03-13,18:16:16.546,-0.039551, 0.160156, 0.982178,-0.762939, 2.365112, 1.045227,rivka
2020-03-13,18:16:16.576,-0.041748, 0.165771, 0.986084,-2.754211, 3.707886, 0.785828,rivka
2020-03-13,18:16:16.606,-0.062256, 0.153076, 0.974609,-1.235962, 0.900269, -0.228882,rivka
2020-03-13,18:16:16.633,-0.058594, 0.171143, 0.963135,-3.707886, 0.083923, 1.258850,rivka
2020-03-13,18:16:16.661,-0.052490, 0.158936, 0.976807,0.717163, 1.907349, 0.099182,rivka
2020-03-13,18:16:16.688,-0.048828, 0.167725, 0.986328,-1.678467, 1.098633, 0.434875,rivka
2020-03-13,18:16:16.716,-0.051025, 0.169189, 0.978760,-3.814697, 0.495911, 0.556946,rivka
2020-03-13,18:16:16.746,-0.046631, 0.169434, 0.963379,0.511169, 0.320435, 0.534058,rivka
2020-03-13,18:16:16.774,-0.041016, 0.171143, 0.989990,1.441956, 0.511169, -0.846863,rivka
2020-03-13,18:16:16.801,-0.040527, 0.179199, 0.995361,-2.586365, 0.961304, -0.656128,rivka
2020-03-13,18:16:16.829,-0.043213, 0.165039, 0.977295,-5.424500, 0.808716, -0.480652,rivka
2020-03-13,18:16:16.857,-0.037354, 0.142334, 0.983643,0.816345, 2.235413, 1.274109,rivka
2020-03-13,18:16:16.887,-0.037598, 0.170898, 0.977051,4.646301, 2.876282, 1.365662,rivka
2020-03-13,18:16:16.916,-0.044922, 0.194092, 0.973145,-3.829956, 1.853943, -1.785278,rivka
2020-03-13,18:16:16.944,-0.051758, 0.163086, 0.981445,-2.334595, 0.862122, -1.091003,rivka
2020-03-13,18:16:16.971,-0.046631, 0.165039, 0.975830,-2.372742, 0.801086, -2.075195,rivka
2020-03-13,18:16:16.999,-0.044678, 0.153076, 0.983154,1.312256, 2.777100, -0.160217,rivka
2020-03-13,18:16:17.029,-0.043457, 0.173828, 0.985107,4.295349, 2.380371, 2.464294,rivka
2020-03-13,18:16:17.058,-0.045410, 0.172607, 0.992920,-1.213074, 0.129700, 4.310608,rivka
2020-03-13,18:16:17.086,-0.072510, 0.139160, 0.947266,-0.122070, 0.213623, 4.257202,rivka
2020-03-13,18:16:17.114,-0.036133, 0.177490, 0.967529,3.639221, 1.647949, 0.671387,rivka
2020-03-13,18:16:17.143,-0.031494, 0.195068, 0.986084,-0.282288, 2.388000, -1.510620,rivka
2020-03-13,18:16:17.171,-0.047607, 0.184326, 0.979980,-3.341675, -0.961304, -0.114441,rivka
2020-03-13,18:16:17.198,-0.042480, 0.177979, 0.961182,-4.180908, -0.534058, -0.633240,rivka
2020-03-13,18:16:17.226,-0.036377, 0.158447, 0.969482,-1.869202, 2.243042, -1.388550,rivka
2020-03-13,18:16:17.253,-0.032715, 0.166504, 0.998291,-3.654480, 7.629395, 1.167297,rivka
2020-03-13,18:16:17.281,-0.048340, 0.191162, 0.997314,0.000000, 1.281738, 0.221252,rivka
2020-03-13,18:16:17.309,-0.041992, 0.172363, 0.974609,-4.531860, 0.572205, 0.732422,rivka
2020-03-13,18:16:17.336,-0.037354, 0.179199, 0.979980,-2.342224, 2.014160, 1.541138,rivka
2020-03-13,18:16:17.364,-0.042236, 0.167236, 0.985107,2.662659, 3.150940, 1.853943,rivka
2020-03-13,18:16:17.392,-0.039795, 0.189209, 0.991211,3.875732, 2.136230, -0.427246,rivka
2020-03-13,18:16:17.421,-0.048828, 0.186279, 0.965088,-0.785828, 0.785828, 0.106812,rivka
2020-03-13,18:16:17.448,-0.042480, 0.178467, 0.975098,0.358582, 0.495911, -1.014709,rivka
2020-03-13,18:16:17.476,-0.038574, 0.177246, 0.998291,1.174927, 3.349304, -6.401062,rivka
2020-03-13,18:16:17.503,-0.039551, 0.156982, 0.970703,-3.890991, -0.228882, -1.380920,rivka
2020-03-13,18:16:17.531,-0.032227, 0.170166, 1.000000,8.384705, -3.623962, -1.380920,rivka
2020-03-13,18:16:17.560,-0.038574, 0.169922, 0.980469,-0.015259, 2.265930, -1.159668,rivka
2020-03-13,18:16:17.590,-0.039551, 0.188965, 0.980713,-2.296448, 0.762939, -1.731873,rivka
2020-03-13,18:16:17.619,-0.041016, 0.179443, 0.979004,-4.409790, -0.160217, 1.914978,rivka
2020-03-13,18:16:17.646,-0.036377, 0.181152, 0.976807,-1.762390, -0.976562, -1.190186,rivka
2020-03-13,18:16:17.674,-0.036865, 0.173584, 0.962158,-0.976562, 2.075195, 0.801086,rivka
2020-03-13,18:16:17.704,-0.037109, 0.182373, 0.987793,-1.815796, 2.426147, -0.381470,rivka
2020-03-13,18:16:17.732,-0.042236, 0.180420, 0.971436,-4.776001, 0.099182, -1.693726,rivka
2020-03-13,18:16:17.760,-0.035645, 0.173096, 0.978027,-0.038147, -0.495911, -0.984192,rivka
2020-03-13,18:16:17.787,-0.035400, 0.156494, 0.969971,-2.540588, 2.731323, -1.274109,rivka
2020-03-13,18:16:17.815,-0.031006, 0.177002, 0.984131,-1.014709, 2.677917, -0.595093,rivka
2020-03-13,18:16:17.843,-0.040039, 0.182861, 0.977539,-3.517151, 1.731873, -0.862122,rivka
2020-03-13,18:16:17.871,-0.035645, 0.168457, 0.965576,-2.365112, 1.525879, -0.335693,rivka
2020-03-13,18:16:17.898,-0.037354, 0.165771, 0.975342,-0.671387, 2.998352, -0.541687,rivka
2020-03-13,18:16:17.926,-0.035889, 0.191895, 0.991211,-0.358582, 3.479004, 0.251770,rivka
2020-03-13,18:16:17.954,-0.041016, 0.196289, 0.974121,-4.859924, 1.609802, -0.213623,rivka
2020-03-13,18:16:17.981,-0.048584, 0.161865, 0.978760,-4.302979, 0.213623, -0.961304,rivka
2020-03-13,18:16:18.009,-0.034668, 0.161621, 0.978760,-0.160217, 1.403809, 0.862122,rivka
2020-03-13,18:16:18.036,-0.036133, 0.191406, 0.985352,0.038147, 2.273560, 1.861572,rivka
2020-03-13,18:16:18.064,-0.037842, 0.187988, 0.978027,-2.105713, 1.136780, 0.289917,rivka
2020-03-13,18:16:18.092,-0.041016, 0.186035, 0.975098,-4.211426, -0.602722, -1.029968,rivka
2020-03-13,18:16:18.121,-0.035889, 0.172363, 0.971191,-2.876282, -0.274658, -0.839233,rivka
2020-03-13,18:16:18.149,-0.031738, 0.173828, 0.965088,-1.945496, 0.328064, -0.198364,rivka
2020-03-13,18:16:18.178,-0.030029, 0.173828, 0.983398,-2.059937, 0.617981, -1.296997,rivka
2020-03-13,18:16:18.205,-0.023438, 0.177979, 0.972900,-6.210327, 1.304626, 0.587463,rivka
2020-03-13,18:16:18.233,-0.015869, 0.156982, 0.959229,-0.228882, 3.303528, 0.442505,rivka
2020-03-13,18:16:18.262,-0.032959, 0.179688, 0.941650,-7.469177, 9.178162, 1.861572,rivka
2020-03-13,18:16:18.291,-0.042969, 0.190430, 0.994141,-1.701355, 4.081726, 0.633240,rivka
2020-03-13,18:16:18.319,-0.046387, 0.177734, 0.962646,-4.470825, 1.091003, 0.083923,rivka
2020-03-13,18:16:18.346,-0.045410, 0.176514, 0.966797,-2.319336, 1.586914, 0.221252,rivka
2020-03-13,18:16:18.374,-0.035645, 0.164551, 0.979248,0.854492, 2.983093, 0.076294,rivka
2020-03-13,18:16:18.402,-0.025635, 0.191406, 1.004150,-2.090454, 3.593445, -0.602722,rivka
2020-03-13,18:16:18.432,-0.039551, 0.175293, 0.982666,-4.028320, 0.869751, 0.076294,rivka
2020-03-13,18:16:18.461,-0.037354, 0.166260, 0.979736,-0.480652, 1.068115, 0.114441,rivka
2020-03-13,18:16:18.488,-0.037354, 0.180664, 0.982910,3.265381, 2.098083, -0.427246,rivka
2020-03-13,18:16:18.516,-0.017334, 0.225342, 0.982910,-1.922607, 2.563477, 0.358582,rivka
2020-03-13,18:16:18.544,-0.043701, 0.178711, 0.974365,-5.790710, 0.617981, -1.304626,rivka
2020-03-13,18:16:18.573,-0.037109, 0.168701, 0.972412,-4.150391, 1.335144, 0.961304,rivka
