timestamp,ax,ay,az,gx,gy,gz,label
2020-03-22,14:36:42.228,0.153809, -0.638916, 0.726318,-3.028870, 2.716064, 0.411987, rivka
2020-03-22,14:36:42.254,0.142822, -0.643799, 0.724121,-3.143311, 2.960205, -0.701904, rivka
2020-03-22,14:36:42.280,0.137451, -0.643066, 0.729736,-0.648499, 2.143860, -0.251770, rivka
2020-03-22,14:36:42.306,0.148193, -0.610840, 0.735596,-0.358582, 1.808167, 0.106812, rivka
2020-03-22,14:36:42.332,0.148926, -0.625000, 0.723633,-3.746033, 2.334595, 0.328064, rivka
2020-03-22,14:36:42.358,0.145508, -0.641602, 0.729004,-4.859924, 1.594543, -0.190735, rivka
2020-03-22,14:36:42.384,0.151367, -0.648193, 0.725098,-3.608704, 1.121521, -0.488281, rivka
2020-03-22,14:36:42.411,0.154541, -0.644043, 0.731689,-1.167297, 1.174927, -0.610352, rivka
2020-03-22,14:36:42.437,0.145996, -0.637451, 0.729248,-0.465393, 3.448486, -0.175476, rivka
2020-03-22,14:36:42.463,0.134521, -0.631836, 0.733398,0.144958, 2.563477, 0.267029, rivka
2020-03-22,14:36:42.488,0.142090, -0.628174, 0.719238,-2.288818, 0.091553, 0.389099, rivka
2020-03-22,14:36:42.515,0.148926, -0.633789, 0.724609,-3.990173, 1.091003, -0.167847, rivka
2020-03-22,14:36:42.543,0.150391, -0.641602, 0.723633,-2.967834, 1.335144, -0.053406, rivka
2020-03-22,14:36:42.570,0.148438, -0.656250, 0.748779,-1.586914, 1.136780, -0.289917, rivka
2020-03-22,14:36:42.598,0.156738, -0.632080, 0.727051,-0.999451, 2.754211, 0.442505, rivka
2020-03-22,14:36:42.624,0.147461, -0.634766, 0.729980,-2.799988, 2.845764, 0.961304, rivka
2020-03-22,14:36:42.651,0.149414, -0.654297, 0.721436,-3.967285, 0.717163, 0.625610, rivka
2020-03-22,14:36:42.677,0.156006, -0.625732, 0.727539,-4.035950, 0.869751, -0.579834, rivka
2020-03-22,14:36:42.703,0.140625, -0.641113, 0.736084,-1.579285, 1.922607, -0.061035, rivka
2020-03-22,14:36:42.729,0.144043, -0.636963, 0.730957,-0.633240, 2.502441, 0.473022, rivka
2020-03-22,14:36:42.756,0.144287, -0.634766, 0.727539,-2.403259, 2.433777, 0.221252, rivka
2020-03-22,14:36:42.782,0.146729, -0.640625, 0.722168,-5.462646, -9.559631, 97.473145, rivka
2020-03-22,14:36:42.808,0.134521, -0.632812, 0.442139,8.087158, 69.549561, 0.373840, rivka
2020-03-22,14:36:42.834,0.181152, -1.121338, 0.601807,64.514160, 29.731750, -2.426147, rivka
2020-03-22,14:36:42.859,0.111816, -0.763916, 0.800049,91.598511, 38.322449, 11.184692, rivka
2020-03-22,14:36:42.885,-0.540039, 0.178467, 0.716064,104.553223, 2.662659, 0.968933, rivka
2020-03-22,14:36:42.911,-0.278076, 0.167969, 0.419922,-150.077820, -135.101318, 33.142090, rivka
2020-03-22,14:36:42.937,0.495361, -0.523926, 0.864258,-217.842102, -96.023560, 18.844604, rivka
2020-03-22,14:36:42.966,0.617432, -1.141846, 0.945801,-93.658447, 28.785706, -36.651611, rivka
2020-03-22,14:36:42.992,0.392334, -0.602295, 0.667725,41.519165, 94.146729, -43.899536, rivka
2020-03-22,14:36:43.020,0.036621, -0.737305, 0.627930,112.396240, 70.312500, -28.884888, rivka
2020-03-22,14:36:43.046,-0.019043, -0.735596, 0.796875,110.221863, 55.587769, -3.837585, rivka
2020-03-22,14:36:43.072,-0.154297, -0.822998, 0.628174,131.660461, 79.162598, 47.805786, rivka
2020-03-22,14:36:43.098,0.052490, -0.526611, 0.919189,150.711060, 53.161621, 41.168213, rivka
2020-03-22,14:36:43.124,0.836426, -0.333008, 0.993652,160.636902, 51.559448, 142.074585, rivka
2020-03-22,14:36:43.152,-0.034180, -0.560303, 0.864258,228.919983, 37.696838, 73.013306, rivka
2020-03-22,14:36:43.178,-0.133057, -0.301514, 0.942139,249.992371, 10.070801, 17.051697, rivka
2020-03-22,14:36:43.205,-0.140381, -0.147217, 0.945068,232.315063, -5.638123, 0.610352, rivka
2020-03-22,14:36:43.233,-0.102295, -0.151611, 0.922607,185.859680, 3.433228, -17.127991, rivka
2020-03-22,14:36:43.259,-0.131836, -0.016846, 0.957520,224.029541, -8.987427, -14.785767, rivka
2020-03-22,14:36:43.285,-0.026611, 0.336914, 0.754395,194.152832, -11.405945, -5.989075, rivka
2020-03-22,14:36:43.310,0.078125, 0.682373, 0.891602,77.308655, 1.739502, 6.874084, rivka
2020-03-22,14:36:43.336,0.434326, 1.098633, 0.725586,-53.993225, 69.915771, 31.898499, rivka
2020-03-22,14:36:43.363,0.308350, 0.866211, 0.609863,-182.487488, 152.984619, 166.252136, rivka
2020-03-22,14:36:43.390,-0.170654, 0.277832, 0.748291,-248.756409, 171.112061, 181.503296, rivka
2020-03-22,14:36:43.416,-0.958984, -0.744873, 0.923828,-228.477478, 139.060974, 47.470093, rivka
2020-03-22,14:36:43.443,-0.972656, -0.975586, 0.960205,-34.812927, 24.681091, -20.309448, rivka
2020-03-22,14:36:43.468,-0.719971, -0.644043, 0.756592,142.044067, -37.818909, -51.429749, rivka
2020-03-22,14:36:43.494,-0.586426, -0.412354, 0.780762,249.992371, -89.538574, -76.484680, rivka
2020-03-22,14:36:43.523,-0.350098, 0.103516, 0.981934,249.992371, -142.120361, -74.256897, rivka
2020-03-22,14:36:43.550,0.188965, 1.039062, 1.145508,137.069702, -156.166077, -27.534485, rivka
2020-03-22,14:36:43.579,0.553223, 1.105713, 0.665771,-0.503540, -57.563782, 40.428162, rivka
2020-03-22,14:36:43.604,0.365234, 0.802490, 0.756348,-124.282837, 68.351746, 68.458557, rivka
2020-03-22,14:36:43.631,-0.195557, 0.153320, 0.923340,-158.576965, 80.345154, 64.346313, rivka
2020-03-22,14:36:43.657,-0.593262, -0.424561, 0.971680,-115.692139, 49.484253, 12.016296, rivka
2020-03-22,14:36:43.683,-0.670410, -0.585938, 1.058594,40.855408, -46.363831, -25.459290, rivka
2020-03-22,14:36:43.709,-0.463135, -0.265137, 0.905029,152.999878, -113.204956, -52.558899, rivka
2020-03-22,14:36:43.735,0.160645, 0.620605, 0.853516,143.775940, -129.386902, -30.494690, rivka
2020-03-22,14:36:43.762,0.697754, 1.084961, 0.650879,57.281494, -29.777527, 39.649963, rivka
2020-03-22,14:36:43.787,0.515625, 0.882812, 0.763672,-35.308838, 114.830017, 53.131104, rivka
